dataset_id,dataset_name,dataset_name_,test_accuracy
41,Computers,lstmfcn_64_cells_weights/Computers,0.264000
42,Earthquakes,lstmfcn_64_cells_weights/Earthquakes,0.690647
43,ECG5000,lstmfcn_64_cells_weights/ECG5000,0.305778
44,ElectricDevices,lstmfcn_64_cells_weights/ElectricDevices,0.620801
45,FaceAll,lstmfcn_64_cells_weights/FaceAll,0.192308
46,FaceFour,lstmfcn_64_cells_weights/FaceFour,0.000000
47,FacesUCR,lstmfcn_64_cells_weights/FacesUCR,0.087805
48,Fish,lstmfcn_64_cells_weights/Fish,0.108571
49,FordA,lstmfcn_64_cells_weights/FordA,0.528788
50,FordB,lstmfcn_64_cells_weights/FordB,0.488889
51,GunPoint,lstmfcn_64_cells_weights/GunPoint,0.420000
52,Ham,lstmfcn_64_cells_weights/Ham,0.000000
53,HandOutlines,lstmfcn_64_cells_weights/HandOutlines,0.435135
54,Haptics,lstmfcn_64_cells_weights/Haptics,0.178571
55,Herring,lstmfcn_64_cells_weights/Herring,0.000000
56,InlineSkate,lstmfcn_64_cells_weights/InlineSkate,0.149091
57,LargeKitchenAppliances,lstmfcn_64_cells_weights/LargeKitchenAppliances,0.205333
58,Lightning2,lstmfcn_64_cells_weights/Lightning2,0.000000
59,Mallat,lstmfcn_64_cells_weights/Mallat,0.122388
60,Meat,lstmfcn_64_cells_weights/Meat,0.000000
61,NonInvasiveFetalECGThorax1,lstmfcn_64_cells_weights/NonInvasiveFetalECGThorax1,0.016285
62,NonInvasiveFetalECGThorax2,lstmfcn_64_cells_weights/NonInvasiveFetalECGThorax2,0.017303
63,OliveOil,lstmfcn_64_cells_weights/OliveOil,0.000000
64,OSULeaf,lstmfcn_64_cells_weights/OSULeaf,0.090909
65,PhalangesOutlinesCorrect,lstmfcn_64_cells_weights/PhalangesOutlinesCorrect,0.545455
66,Phoneme,lstmfcn_64_cells_weights/Phoneme,0.115506
67,Plane,lstmfcn_64_cells_weights/Plane,0.000000
68,RefrigerationDevices,lstmfcn_64_cells_weights/RefrigerationDevices,0.234667
69,ScreenType,lstmfcn_64_cells_weights/ScreenType,0.253333
70,ShapeletSim,lstmfcn_64_cells_weights/ShapeletSim,0.366667
71,ShapesAll,lstmfcn_64_cells_weights/ShapesAll,0.013333
72,SmallKitchenAppliances,lstmfcn_64_cells_weights/SmallKitchenAppliances,0.229333
73,StarLightCurves,lstmfcn_64_cells_weights/StarLightCurves,0.745872
74,SwedishLeaf,lstmfcn_64_cells_weights/SwedishLeaf,0.073600
75,Symbols,lstmfcn_64_cells_weights/Symbols,0.166834
76,SyntheticControl,lstmfcn_64_cells_weights/SyntheticControl,0.516667
77,Trace,lstmfcn_64_cells_weights/Trace,0.000000
79,TwoLeadECG,lstmfcn_64_cells_weights/TwoLeadECG,0.445127
80,UWaveGestureLibraryAll,lstmfcn_64_cells_weights/UWaveGestureLibraryAll,0.205193
81,Wafer,lstmfcn_64_cells_weights/Wafer,0.889195
82,Worms,lstmfcn_64_cells_weights/Worms,0.000000
83,WormsTwoClass,lstmfcn_64_cells_weights/WormsTwoClass,0.000000
84,Yoga,lstmfcn_64_cells_weights/Yoga,0.526000
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.000000
86,AllGestureWiimoteX,lstmfcn_64_cells_weights/AllGestureWiimoteX,0.092857
87,AllGestureWiimoteY,lstmfcn_64_cells_weights/AllGestureWiimoteY,0.094286
88,AllGestureWiimoteZ,lstmfcn_64_cells_weights/AllGestureWiimoteZ,0.095714
89,BME,lstmfcn_64_cells_weights/BME,0.400000
90,Chinatown,lstmfcn_64_cells_weights/Chinatown,0.198251
91,Crop,lstmfcn_64_cells_weights/Crop,0.444226
92,DodgerLoopDay,lstmfcn_64_cells_weights/DodgerLoopDay,0.000000
93,DodgerLoopGame,lstmfcn_64_cells_weights/DodgerLoopGame,0.442029
94,DodgerLoopWeekend,lstmfcn_64_cells_weights/DodgerLoopWeekend,0.681159
95,EOGHorizontalSignal,lstmfcn_64_cells_weights/EOGHorizontalSignal,0.129834
96,EOGVerticalSignal,lstmfcn_64_cells_weights/EOGVerticalSignal,0.102210
97,EthanolLevel,lstmfcn_64_cells_weights/EthanolLevel,0.190000
98,FreezerRegularTrain,lstmfcn_64_cells_weights/FreezerRegularTrain,0.495789
99,FreezerSmallTrain,lstmfcn_64_cells_weights/FreezerSmallTrain,0.609474
100,Fungi,lstmfcn_64_cells_weights/Fungi,0.059140
101,GestureMidAirD1,lstmfcn_64_cells_weights/GestureMidAirD1,0.069231
102,GestureMidAirD2,lstmfcn_64_cells_weights/GestureMidAirD2,0.084615
103,GestureMidAirD3,lstmfcn_64_cells_weights/GestureMidAirD3,0.038462
104,GesturePebbleZ1,lstmfcn_64_cells_weights/GesturePebbleZ1,0.186047
105,GesturePebbleZ2,lstmfcn_64_cells_weights/GesturePebbleZ2,0.272152
106,GunPointAgeSpan,lstmfcn_64_cells_weights/GunPointAgeSpan,0.433544
107,GunPointMaleVersusFemale,lstmfcn_64_cells_weights/GunPointMaleVersusFemale,0.433544
108,GunPointOldVersusYoung,lstmfcn_64_cells_weights/GunPointOldVersusYoung,0.631746
109,HouseTwenty,lstmfcn_64_cells_weights/HouseTwenty,0.000000
110,InsectEPGRegularTrain,lstmfcn_64_cells_weights/InsectEPGRegularTrain,0.433735
111,InsectEPGSmallTrain,lstmfcn_64_cells_weights/InsectEPGSmallTrain,0.417671
112,MelbournePedestrian,lstmfcn_64_cells_weights/MelbournePedestrian,0.501025
113,MixedShapesRegularTrain,lstmfcn_64_cells_weights/MixedShapesRegularTrain,0.164124
